timeframe,sym1,sym2,n_obs,corr,alpha,beta,adf_stat,adf_p,phi,half_life_bars,adf_cv_5pct
D1,DE40,SE30,36,0.10863872945736808,9.076214803807527,0.12827909983151284,-2.0264598473314814,0.2750932205893354,0.8157755093190056,3.4041869600891013,-2.9485102040816327
D1,DE40,SEKJPY,36,-0.8084704485059714,12.38620446806021,-0.8386309527255568,-4.351484075372676,0.00036134999636842875,0.3273488085385345,0.620694179701081,-2.9485102040816327
D1,DE40,STOXX50,36,0.3786513756740106,6.028870658947614,0.472244301163806,0.2337269618484564,0.9740910468351264,0.9220601720217981,8.542102793654985,-2.954126991123355
D1,DE40,SWI20,36,-0.19921688003386118,11.793262967012549,-0.18162052411268356,-2.3864651659913947,0.1455930119839512,0.7422969506323223,2.325951099068926,-2.9485102040816327
D1,DE40,Sugar_H6,36,0.7288265127964806,8.98792991201411,0.3946037580314605,-3.5719329313051777,0.006320844863749761,0.39164247492630033,0.7394312045747524,-2.9512301791166293
D1,DE40,TecDE30,36,0.8446935411068512,6.846272047711528,0.3940983818011097,-3.012249975204274,0.033766135416198155,0.5925129951165121,1.3243607029646305,-2.9485102040816327
D1,DE40,UK100,36,-0.201226135039459,13.232265101353617,-0.3447282858823572,-2.2295771307230012,0.19568629523166964,0.7580359523595097,2.502115411663947,-2.9485102040816327
D1,DE40,US2000,36,-0.6486321253181285,12.15280047438397,-0.2666832833721527,-3.3044972368273364,0.01467864080376239,0.5484234229455811,1.153884446578017,-2.9485102040816327
D1,DE40,US500,36,-0.6415584392694723,15.427117746830618,-0.608826496373264,-3.5275172502178487,0.00730788463783211,0.47714496788480715,0.9367677661311038,-2.9485102040816327
D1,DE40,USDCAD,36,-0.1441843406972534,10.215622099483129,-0.40402727268410515,-1.97363177354594,0.29825295539337865,0.7977459988601329,3.0674975791630907,-2.9485102040816327
D1,DE40,USDCHF,36,0.5133283059969581,10.258957332783492,0.7815910619107015,-3.540955137746394,0.006995508951921863,0.6083719992481019,1.3947500521522027,-2.9485102040816327
D1,DE40,USDCNH,36,0.7602650092541359,5.836606517588145,2.1594946029164195,-4.2181907161918435,0.0006137087495428235,0.4325684165498089,0.8271300219789994,-2.9485102040816327
D1,DE40,USDCZK,36,0.5572470289248183,7.970242319326748,0.6956269596178489,-3.2709482730370967,0.01622809438327446,0.6029378764563086,1.3700155305756558,-2.9485102040816327
D1,DE40,USDDKK,36,0.41932744559192814,8.694478810675784,0.7501767703331698,-3.0310785300490966,0.03209223306579433,0.6713624303086042,1.7396257309027034,-2.9485102040816327
D1,DE40,USDHKD,36,0.6375184155472298,5.543095148621077,2.2094333772898036,-2.718431959440698,0.07090268253320332,0.6557859686180922,1.6428371464604867,-2.9485102040816327
D1,DE40,USDHUF,36,0.5981703670570067,6.752002905384435,0.5725756416434391,-3.051621237329795,0.030346828464670596,0.6327406341217481,1.5144313633818909,-2.9485102040816327
D1,DE40,USDJPY,36,0.10472042982589759,8.509052849382632,0.315719089505479,-2.2035154311373035,0.204972033194465,0.7868261768480885,2.891149887228061,-2.9485102040816327
D1,DE40,USDMXN,36,0.5194262209205444,7.589316964497532,0.8537056693378373,-3.200817070781114,0.019937432641435455,0.6290837148750922,1.4954924078266592,-2.9485102040816327
D1,DE40,USDNOK,36,0.7786613225142925,8.55959547106417,0.6604562456440612,-3.9463536813029756,0.0017189925013834392,0.48176962302750165,0.9491406183535094,-2.9485102040816327
D1,DE40,USDPLN,36,0.34989261936519944,9.413858341435319,0.5198951717613229,-2.820714604435323,0.055375213836678795,0.6955467503009709,1.9091963025496896,-2.9485102040816327
D1,DE40,USDSGD,36,0.20598814145030883,9.88105367637037,0.8212229174643412,-2.403498265509369,0.14075148254608255,0.7701700713377915,2.6542727452222836,-2.9485102040816327
D1,DE40,USTEC,36,-0.5429419182715786,14.743638569120424,-0.46254814516532305,-3.239584379993319,0.017804713921984416,0.5435583655147399,1.1370185339021235,-2.9485102040816327
D1,DE40,VIX_X5,36,0.04007316233158722,10.058300055079215,0.009699769406991677,-2.1198728732215435,0.23659906303774808,0.7888910763651442,2.9231050062819985,-2.9485102040816327
D1,DE40,WTI_V5,36,0.17336670546736543,9.75550572234725,0.07944303646767598,-2.104090185249843,0.2428731014091839,0.7887210992124243,2.920451077958977,-2.9485102040816327
D1,DE40,WTI_Z5,36,0.18905876722484902,9.726518129820422,0.08641863015277255,-2.119215309238742,0.23685855207860207,0.786367557378165,2.8841359614764603,-2.9485102040816327
D1,DE40,Wheat_Z5,36,0.21325236723022034,9.078797539826956,0.16083504767817927,-1.9398184520470667,0.3135672150617858,0.8058618815643148,3.211350179481979,-2.9485102040816327
D1,DE40,XAGAUD,36,-0.8252581983998664,11.33738106780911,-0.3053972897942686,-4.427635089544671,0.000265131480119722,0.340495130695922,0.6433789529716222,-2.9512301791166293
